Alabama;32,39,46,144,145,56,115,125,96,70,115,153,254,99,227,165,191,302,339,170,254,321,179,114,365,163,168
Alaska;8,10,4,6,17,10,16,17,12,5,14,10,8,20,14,6,22,13,9,11,11,15,5,8,8,7,9
Arizona;44,82,92,75,107,157,108,146,238,132,124,185,171,250,250,187,119,151,292,94,281,146,163,104,156,272,273
Arkansas;47,32,35,48,55,46,28,40,59,15,61,99,55,5,94,90,19,131,69,56,26,52,130,70,89,51,80
California;369,378,433,432,1017,518,1016,655,960,1340,1136,1198,1743,1068,1388,982,1441,214,2297,1102,1100,1004,909,492,2258,798,1541
Colorado;228,129,192,174,344,0,631,246,320,339,376,386,445,392,385,222,257,226,547,308,383,410,381,7,589,395,372
Connecticut;29,192,203,257,137,279,233,469,634,501,429,267,1090,362,399,1231,875,1000,1003,754,972,525,1346,608,766,1129,925
Delaware;16,12,36,15,11,33,51,18,32,55,49,25,57,143,80,110,145,188,93,117,153,146,136,0,253,61,248
District of Columbia;21,39,46,48,36,0,37,97,0,94,91,67,104,145,96,99,114,229,83,137,118,97,80,103,139,153,126
Florida;348,220,240,510,507,416,1138,912,754,1037,1032,1235,1260,1277,805,1279,1118,951,1128,1142,1018,909,1124,348,1152,821,1413
Georgia;93,203,294,290,256,358,365,317,349,1085,631,600,619,416,359,572,1842,1048,681,974,402,289,1071,602,1037,1108,1064
Hawaii;8,21,13,5,11,0,45,24,29,20,34,27,34,32,20,16,23,25,7,23,21,13,5,0,26,11,12
Idaho;6,5,34,10,98,0,72,49,105,110,148,218,122,12,76,69,40,22,121,43,11,19,27,0,134,22,46
Illinois;296,236,250,330,673,488,465,1105,461,937,986,715,1209,1453,899,1006,1287,1529,1344,1465,1293,1672,1173,1222,1346,1140,1842
Indiana;72,58,106,112,168,336,251,282,272,373,406,474,398,516,458,533,563,436,408,556,528,493,308,291,428,587,612
Iowa;22,15,19,21,35,55,63,38,88,73,52,65,85,87,82,78,103,96,125,118,122,77,123,189,96,146,191
